,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
603,EG426_20,LD426_20,"""2(1234)00""",Box 1.25,m,CL125_20,E016_M,,E022_F120,delicata,C-23,C,23,0,ALIVE,2020/21,27/11/2020,27/11/2020,10/1/2021,,0.134,7.69,5.58,NA,0.134,NA,0.093,NA,NA,NA,NA,photo is too blurred to measure,44,NA,NA
604,EG427_20,LD427_20,"""0405""",Box 1.26,m,Cl126_20,E017_M,,Ind enclosure,delicata,C-28,C,28,0,ALIVE,2020/21,27/11/2020,27/11/2020,28/12/2020,,0.167,9.14,5.7,NA,0.167,NA,0.114,NA,NA,,NA,,31,NA,NA
605,EG432_20,LD432_20,"""003(12)""",Box 1.25,f,CL127_20,E023_M,,E022_F120,delicata,C-28,C,28,0,ALIVE,2020/21,27/11/2020,27/11/2020,28/12/2020,,0.14,8.05,5.61,NA,0.14,NA,0.107,NA,NA,,NA,,31,NA,NA
606,EG433_20,LD433_20,"""2005""",Box 1.28,f,CL127_20,E023_M,,E051_F120,delicata,C-23,C,23,0,ALIVE,2020/21,27/11/2020,27/11/2020,11/1/2021,,0.141,7.93,5.71,NA,0.141,NA,0.108,17.985,21.144,39.129,NA,,45,NA,NA
607,EG435_20,LD435_20,"""0012""",Box 1.26,m,CL128_20,E046_M,,E042_F120,delicata,C-28,C,28,0,ALIVE,2020/21,29/11/2020,29/11/2020,28/12/2020,,0.137,8.53,5.32,NA,0.137,NA,0.096,NA,NA,,NA,,29,NA,NA
610,EG445_20,LG445_20,"""020(12)""",Box 1.28,f,CL132_20,E001_M,,E058_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,30/11/2020,30/11/2020,22/1/2021,,0.17,8.43,5.91,NA,0.17,NA,0.126,20.395,25.535,45.93,NA,,53,NA,NA
611,EG448_20,LG448_20,,,,CL133_20,E003_M,,,guichenoti,C-23,C,23,0,ALIVE,2020/21,30/11/2020,30/11/2020,17/1/2021,,0.213,9.52,6.31,NA,0.213,NA,0.145,19.498,23.968,43.466,NA,,48,NA,NA
613,EG454_20,LD454_20,210,Box 1.26,f,CL134_20,E026_M,,E040_F120,delicata,C-28,C,28,0,ALIVE,2020/21,30/11/2020,30/11/2020,30/12/2020,,0.165,8.86,5.73,NA,0.165,NA,0.133,19.079,27.077,46.156,NA,,30,NA,NA
614,EG458_20,LG458_20,"""(35)(2345)(235)(34)""",Box 1.26,f,CL136_20,E051_M,,E031_F120,guichenoti,C-28,C,28,0,ALIVE,2020/21,1/12/2020,1/12/2020,31/12/2020,,0.195,8.27,6.48,NA,0.195,NA,0.142,18.993,26.139,45.132,NA,,30,NA,NA
615,EG459_20,LD459_20,"""0530""",Box 1.27,f,Cl137_20,E045_M,,E045_F120,delicata,C-23,C,23,0,ALIVE,2020/21,1/12/2020,1/12/2020,10/1/2021,,0.143,8.07,5.49,NA,0.143,NA,0.092,16.615,20.069,36.684,NA,,40,NA,NA
